Svjetlina,Vlaga,Temperatura,CO2,Prisutnost
59.00,23.00,19.00,303,1
57.00,23.00,19.00,278,1
72.00,24.00,18.00,286,1
47.00,24.00,18.00,264,1
58.00,24.00,18.00,282,1
59.00,24.00,18.00,296,1
54.00,24.00,18.00,285,1
24.00,24.00,18.00,277,1
24.00,24.00,18.00,269,1
24.00,24.00,18.00,262,1
24.00,24.00,18.00,252,1
24.00,24.00,18.00,248,1
24.00,24.00,18.00,242,1
24.00,24.00,18.00,235,1
24.00,24.00,18.00,232,1
24.00,24.00,18.00,231,1
24.00,24.00,18.00,225,1
24.00,24.00,18.00,221,1
24.00,24.00,18.00,220,1
25.00,24.00,18.00,218,1
25.00,24.00,18.00,217,1
25.00,24.00,18.00,216,1
25.00,24.00,18.00,216,1
24.00,24.00,18.00,217,1
24.00,24.00,18.00,218,1
24.00,24.00,18.00,220,1
24.00,24.00,18.00,223,1
24.00,24.00,18.00,223,1
24.00,24.00,18.00,223,1
24.00,24.00,17.00,224,1
24.00,24.00,17.00,222,1
24.00,24.00,17.00,224,1
24.00,24.00,17.00,223,1
24.00,24.00,17.00,222,1
24.00,24.00,17.00,223,1
24.00,24.00,17.00,223,1
24.00,24.00,17.00,223,1
25.00,24.00,17.00,222,1
26.00,24.00,17.00,221,1
27.00,24.00,17.00,221,1
28.00,24.00,17.00,222,1
28.00,24.00,17.00,225,1
27.00,24.00,17.00,281,0
28.00,24.00,17.00,309,0
29.00,24.00,17.00,287,0
29.00,24.00,17.00,267,0
30.00,24.00,17.00,260,0
30.00,24.00,17.00,250,0
30.00,24.00,17.00,228,0
31.00,24.00,17.00,223,0
31.00,24.00,17.00,218,0
31.00,24.00,17.00,213,0
31.00,24.00,17.00,211,0
32.00,24.00,17.00,209,0
32.00,24.00,17.00,207,0
32.00,24.00,17.00,205,0
34.00,24.00,17.00,204,0
34.00,24.00,17.00,204,0
35.00,24.00,17.00,205,0
34.00,24.00,17.00,204,0
35.00,24.00,17.00,205,0
35.00,24.00,17.00,205,0
34.00,24.00,17.00,204,0
34.00,24.00,17.00,205,0
33.00,24.00,17.00,206,0
32.00,24.00,17.00,206,0
31.00,24.00,17.00,207,0
30.00,24.00,17.00,212,0
30.00,24.00,17.00,213,0
29.00,24.00,17.00,213,0
28.00,24.00,17.00,214,0
27.00,24.00,17.00,216,0
26.00,24.00,17.00,226,0
25.00,24.00,17.00,226,0
24.00,24.00,17.00,235,0
24.00,24.00,17.00,232,0
24.00,24.00,17.00,234,0
23.00,24.00,17.00,234,0
71.00,24.00,17.00,244,1
81.00,24.00,18.00,249,1
80.00,23.00,19.00,250,1
79.00,23.00,19.00,255,1
31.00,24.00,18.00,264,0
29.00,24.00,18.00,255,0
80.00,24.00,18.00,253,0
59.00,24.00,17.00,291,1
61.00,29.00,21.00,297,1
65.00,32.00,21.00,328,1
93.00,24.00,17.00,335,1
93.00,31.00,23.00,312,1
72.00,27.00,24.00,296,1
68.00,30.00,23.00,298,1
70.00,32.00,22.00,332,1
95.00,31.00,22.00,346,1
96.00,30.00,24.00,329,1
98.00,29.00,23.00,330,1
116.00,30.00,22.00,323,1
116.00,31.00,22.00,349,1
85.00,30.00,22.00,350,1
86.00,29.00,21.00,347,1
80.00,29.00,21.00,355,1
80.00,30.00,21.00,351,1
79.00,29.00,21.00,349,1
75.00,31.00,21.00,340,1
96.00,31.00,21.00,354,1
100.00,30.00,21.00,362,1
98.00,29.00,21.00,360,1
100.00,29.00,21.00,357,1
88.00,30.00,21.00,324,1
91.00,31.00,23.00,331,1
29.00,32.00,22.00,279,1
29.00,23.00,19.00,277,1
29.00,23.00,19.00,267,1
29.00,23.00,19.00,268,1
28.00,23.00,19.00,263,1
28.00,23.00,19.00,266,1
29.00,23.00,19.00,260,1
29.00,24.00,18.00,257,1
29.00,24.00,18.00,256,1
29.00,24.00,18.00,256,1
29.00,24.00,18.00,255,1
29.00,24.00,18.00,255,1
28.00,24.00,18.00,256,1
28.00,24.00,18.00,256,1
29.00,24.00,18.00,256,1
29.00,24.00,18.00,258,1
29.00,24.00,18.00,257,1
28.00,24.00,18.00,256,1
28.00,24.00,18.00,259,1
28.00,24.00,18.00,260,1
27.00,24.00,18.00,263,1
27.00,24.00,18.00,290,1
26.00,24.00,17.00,286,1
27.00,29.00,21.00,285,1
26.00,29.00,21.00,282,1
26.00,30.00,20.00,285,1
28.00,29.00,21.00,279,1
28.00,24.00,17.00,276,1
49.00,29.00,21.00,259,1
26.00,27.00,24.00,257,0
27.00,28.00,22.00,267,0
26.00,28.00,22.00,258,0
26.00,27.00,21.00,266,0
27.00,28.00,21.00,268,0
27.00,27.00,21.00,270,0
27.00,28.00,21.00,272,0
27.00,28.00,21.00,277,0
27.00,27.00,21.00,280,0
30.00,27.00,21.00,267,0
30.00,24.00,18.00,254,0
30.00,24.00,18.00,247,0
31.00,24.00,18.00,244,0
59.00,24.00,18.00,244,1
61.00,29.00,21.00,263,1
92.00,29.00,20.00,253,1
94.00,24.00,17.00,255,1
90.00,24.00,17.00,251,1
92.00,24.00,17.00,251,1
38.00,24.00,17.00,251,0
41.00,24.00,17.00,249,0
40.00,24.00,17.00,252,0
41.00,24.00,17.00,256,0
42.00,24.00,17.00,256,0
40.00,24.00,17.00,258,0
38.00,24.00,17.00,258,0
37.00,24.00,17.00,258,0
37.00,24.00,17.00,259,0
37.00,24.00,17.00,259,0
36.00,24.00,17.00,259,0
36.00,24.00,17.00,260,0
35.00,24.00,17.00,260,0
35.00,24.00,17.00,260,0
35.00,24.00,17.00,261,0
35.00,24.00,17.00,261,0
35.00,24.00,17.00,261,0
35.00,24.00,17.00,262,0
34.00,24.00,17.00,262,0
34.00,24.00,17.00,263,0
34.00,24.00,17.00,262,0
34.00,24.00,17.00,263,0
34.00,24.00,17.00,263,0
34.00,24.00,17.00,265,0
34.00,24.00,17.00,265,0
35.00,24.00,17.00,265,0
35.00,24.00,17.00,265,0
34.00,24.00,17.00,266,0
34.00,24.00,17.00,266,0
35.00,24.00,17.00,266,0
34.00,24.00,17.00,267,0
35.00,24.00,17.00,267,0
35.00,24.00,17.00,268,0
35.00,24.00,17.00,269,0
35.00,24.00,17.00,269,0
35.00,24.00,17.00,269,0
35.00,24.00,17.00,270,0
35.00,24.00,17.00,269,0
34.00,24.00,17.00,269,0
35.00,24.00,17.00,269,0
35.00,24.00,17.00,269,0
34.00,24.00,17.00,269,0
35.00,24.00,17.00,269,0
35.00,24.00,17.00,269,0
35.00,24.00,17.00,269,0
35.00,24.00,17.00,270,0
35.00,24.00,17.00,269,0
35.00,24.00,17.00,270,0
35.00,24.00,17.00,270,0
35.00,24.00,17.00,270,0
35.00,24.00,17.00,270,0
33.00,24.00,17.00,270,0
33.00,24.00,17.00,273,0
33.00,24.00,17.00,271,0
34.00,24.00,17.00,277,0
34.00,24.00,17.00,266,0
34.00,24.00,17.00,275,0
34.00,24.00,17.00,276,0
33.00,24.00,17.00,266,0
34.00,24.00,17.00,279,0
33.00,24.00,17.00,290,0
33.00,24.00,17.00,282,0
34.00,24.00,17.00,284,0
34.00,24.00,17.00,282,0
34.00,24.00,17.00,283,0
33.00,24.00,17.00,283,0
34.00,24.00,17.00,286,0
34.00,24.00,17.00,286,0
34.00,24.00,17.00,284,0
34.00,25.00,16.00,283,0
35.00,25.00,16.00,295,0
34.00,25.00,16.00,282,0
34.00,25.00,16.00,276,0
36.00,25.00,16.00,291,0
36.00,25.00,16.00,283,0
37.00,25.00,16.00,285,0
39.00,25.00,16.00,288,0
39.00,25.00,16.00,284,0
41.00,25.00,16.00,286,0
41.00,25.00,16.00,287,0
41.00,25.00,16.00,287,0
42.00,25.00,16.00,284,0
43.00,25.00,16.00,282,0
43.00,25.00,16.00,282,0
45.00,25.00,16.00,280,0
45.00,25.00,16.00,281,0
45.00,25.00,16.00,281,0
45.00,25.00,16.00,282,0
44.00,25.00,16.00,281,0
45.00,25.00,16.00,282,0
46.00,25.00,16.00,283,0
47.00,24.00,17.00,283,0
46.00,24.00,17.00,283,0
