Min	Avg	Max
-6	-11,645	-21
-5	-11,49	-19
-4	-10,665	-21
-4	-10,83	-20
-4	-10,855	-23
-4	-11,08	-20
-4	-10,75	-21
-4	-10,84	-22
-4	-10,585	-21
-3	-10,77	-19
-3	-10,19	-19
-3	-9,985	-18
-3	-10,13	-20
-3	-9,985	-20
-3	-9,765	-20
-3	-9,97	-18
-3	-10,025	-20
-2	-10,08	-22
-2	-10	-18
-2	-9,745	-20
-2	-9,625	-17
-2	-9,225	-19
-2	-8,875	-19
-2	-9,255	-19
-2	-8,985	-19
-2	-8,8	-17
-2	-9,075	-16
-2	-8,905	-18
-2	-8,525	-17
-2	-8,485	-15
-2	-7,805	-17
-2	-7,605	-17
-2	-7,68	-16
-2	-7,5	-17
-2	-7,91	-17
-2	-7,965	-18
-2	-8,225	-17
-2	-7,86	-16
-1	-7,855	-18
-1	-8	-17
-1	-7,645	-18
-1	-7,535	-17
-1	-7,26	-14
-1	-7,15	-18
-1	-7,13	-15
-1	-6,855	-14
-1	-6,705	-16
-1	-6,48	-14
-1	-5,89	-17
-1	-5,925	-15
-1	-5,84	-14
-1	-5,835	-14
-1	-5,92	-12
-1	-5,75	-14
-1	-5,805	-12
-1	-5,52	-13
-1	-5,105	-12
-1	-5,27	-14
-1	-5,275	-15
-1	-5,465	-14
-1	-5,255	-14
-1	-4,705	-14
-1	-5,04	-12
-1	-5,095	-12
-1	-4,98	-13
-1	-4,975	-13
-1	-4,745	-12
-1	-4,5	-13
-1	-4,57	-10
-1	-4,625	-13
-1	-4,425	-13
-1	-4,79	-13
-1	-4,72	-12
-1	-4,44	-11
-1	-4,38	-13
-1	-4,7	-13
-1	-4,65	-15
-1	-4,805	-14
-1	-4,57	-12
-1	-4,545	-10
-1	-4,335	-13
-1	-4,215	-14
-1	-4,41	-14
-1	-4,585	-15
-1	-4,385	-12
-1	-4,12	-11
-1	-4,24	-11
-1	-4,34	-11
-1	-4,335	-13
-1	-4,205	-12
-1	-4,27	-12
-1	-4,14	-12
-1	-4,21	-13
-1	-4,67	-13
-1	-4,905	-13
-1	-4,89	-13
-1	-5,125	-11
-1	-5,03	-11
-1	-4,79	-11
-1	-4,515	-11
-1	-4,225	-12
-1	-4,325	-11
-1	-4,38	-13
-1	-4,435	-13
-1	-4,225	-12
-1	-3,965	-11
-1	-3,965	-11
-1	-4,01	-13
-1	-3,97	-10
-1	-3,925	-12
-1	-4,08	-13
-1	-4,355	-12
-1	-4,27	-12
-1	-4,335	-13
-1	-4,45	-12
-1	-4,555	-14
-1	-4,6	-12
-1	-4,79	-14
-1	-4,855	-12
-1	-4,815	-14
-1	-4,94	-15
-1	-4,91	-14
-1	-4,49	-12
-1	-4,255	-12
-1	-4,425	-11
-1	-4,28	-14
-1	-4,505	-11
-1	-4,62	-11
-1	-4,735	-14
0	-4,725	-12
