Min	Avg	Max
-2	-7,725	-19
-2	-7,215	-16
-2	-6,905	-15
-2	-6,555	-14
-2	-6,43	-13
-2	-6,645	-16
-2	-6,855	-17
-2	-6,67	-14
-2	-6,66	-18
-2	-6,41	-14
-2	-6,66	-15
-2	-6,88	-17
-1	-6,93	-16
-1	-6,76	-14
-1	-6,545	-15
-1	-6,37	-15
-1	-6,385	-15
-1	-6,655	-19
-1	-6,665	-13
-1	-6,785	-16
-1	-6,71	-15
-1	-6,785	-15
-1	-6,52	-14
-1	-6,48	-14
-1	-6,53	-18
-1	-6,7	-16
-1	-6,475	-14
-1	-6,295	-13
-1	-6,475	-16
-1	-6,565	-15
-1	-6,27	-14
-1	-6,46	-17
-1	-6,745	-14
-1	-6,375	-20
-1	-6,445	-19
-1	-6,585	-15
-1	-6,505	-18
-1	-6,535	-14
-1	-6,385	-15
-1	-6,44	-19
-1	-6,605	-15
-1	-6,76	-14
-1	-6,85	-15
-1	-6,65	-14
-1	-6,42	-14
-1	-6,295	-16
0	-6,26	-17
