Min	Avg	Max
-6	-11,94	-19
-4	-11,76	-24
-4	-11,38	-21
-4	-10,54	-16
-4	-10,16	-18
-4	-9,42	-15
-4	-9,2	-21
-4	-8,14	-15
-4	-8,26	-16
-4	-8,32	-15
-3	-7,92	-15
-3	-7,76	-16
-2	-7,42	-13
-1	-6,82	-15
-1	-6,34	-13
-1	-5,6	-11
-1	-4,98	-13
-1	-4,38	-11
-1	-4,5	-12
-1	-4,14	-13
-1	-3,9	-10
-1	-4,34	-12
-1	-4,66	-12
-1	-3,24	-10
-1	-3,16	-9
-1	-2,68	-7
-1	-3	-9
-1	-2,92	-10
-1	-2,92	-8
-1	-2,78	-10
-1	-2,98	-10
-1	-3,18	-8
-1	-3,48	-10
-1	-3,08	-8
-1	-3,48	-8
-1	-3,42	-9
-1	-3,06	-8
-1	-3,04	-11
-1	-3,48	-10
-1	-3,02	-10
-1	-3,36	-10
-1	-3,32	-8
-1	-2,9	-10
-1	-2,98	-10
-1	-3,08	-7
-1	-3,38	-8
-1	-3,14	-9
-1	-3,1	-7
-1	-2,9	-10
-1	-3,36	-10
-1	-3,24	-9
-1	-2,9	-8
-1	-3,04	-10
-1	-3,12	-9
-1	-3,1	-9
-1	-3,86	-10
-1	-3,84	-13
-1	-3,94	-12
-1	-3,48	-8
-1	-2,86	-9
-1	-2,52	-11
-1	-2,62	-9
-1	-2,72	-7
-1	-2,98	-9
-1	-3,3	-11
-1	-3,36	-8
-1	-3,62	-10
-1	-3,16	-9
-1	-3,22	-10
-1	-3,24	-11
-1	-3,3	-11
-1	-3,2	-11
-1	-3,5	-8
-1	-2,78	-6
-1	-3,18	-9
-1	-3,62	-10
-1	-3,06	-10
-1	-3,02	-9
-1	-3,26	-13
-1	-3,64	-16
-1	-3,74	-8
-1	-3,48	-7
-1	-3,02	-11
-1	-2,68	-8
-1	-2,78	-10
-1	-2,74	-8
-1	-2,98	-10
-1	-2,9	-8
-1	-2,66	-10
-1	-2,96	-9
-1	-3,28	-10
-1	-3,46	-10
-1	-3,32	-7
-1	-3,66	-12
-1	-3,86	-9
-1	-3,88	-10
-1	-3,88	-10
-1	-3,3	-8
-1	-2,92	-8
-1	-3,06	-9
-1	-2,88	-13
-1	-3,18	-13
-1	-3,2	-8
-1	-2,9	-7
-1	-3,04	-9
-1	-3,14	-8
-1	-3,08	-10
-1	-3,02	-8
-1	-2,76	-11
-1	-2,8	-7
-1	-2,74	-8
-1	-3,22	-9
-1	-3,16	-10
-1	-3,14	-8
-1	-3,14	-9
-1	-3,28	-11
-1	-3,58	-11
-1	-3,44	-8
-1	-3,38	-8
-1	-3,2	-10
-1	-3,08	-7
-1	-3,24	-9
-1	-2,96	-7
-1	-2,7	-8
-1	-3,04	-8
-1	-2,9	-8
-1	-2,86	-9
-1	-2,8	-9
-1	-2,58	-7
-1	-2,58	-8
-1	-2,82	-9
-1	-2,96	-13
-1	-3,02	-8
-1	-2,94	-11
-1	-3,48	-12
-1	-3,52	-10
-1	-3	-8
-1	-2,88	-7
-1	-2,66	-9
-1	-3,04	-10
-1	-3	-12
-1	-3	-13
-1	-2,8	-8
-1	-3,08	-7
-1	-3,28	-11
-1	-3,84	-11
