Min	Avg	Max
-6	-11,24	-22
-5	-11,04	-20
-5	-10,02	-17
-5	-8,64	-16
-5	-8,28	-14
-5	-8,18	-15
-5	-8,2	-15
-4	-7,08	-14
-4	-6,82	-17
-4	-6,82	-12
-4	-6,58	-13
-4	-6,32	-12
-4	-6,56	-13
-4	-6,44	-15
-3	-6,5	-14
-3	-6,18	-13
-3	-5,9	-12
-3	-5,68	-12
-3	-5,14	-11
-3	-4,92	-13
-3	-4,98	-11
-2	-4,84	-14
-2	-4,58	-11
-2	-4,1	-10
-2	-4,18	-10
-2	-4	-9
-2	-3,62	-8
-2	-3,78	-9
-2	-3,24	-9
-2	-2,96	-7
-2	-2,84	-12
-2	-3,1	-8
-2	-3,02	-9
-2	-2,96	-7
-2	-2,68	-8
-2	-2,84	-6
-2	-3	-9
-2	-2,86	-6
-2	-2,76	-6
-2	-2,96	-8
-2	-2,84	-6
-2	-3,16	-10
-2	-2,86	-7
-2	-2,68	-7
-2	-2,66	-7
-2	-2,92	-6
-2	-2,88	-7
-2	-3,12	-8
-2	-2,9	-8
-2	-2,66	-10
-2	-2,76	-7
-2	-2,84	-10
-2	-2,96	-10
-2	-2,66	-7
-2	-2,96	-10
-2	-2,74	-7
-2	-3,1	-7
-2	-3,08	-9
-2	-2,7	-6
-2	-2,94	-6
-2	-2,86	-10
-2	-3,02	-8
-2	-3,02	-9
-2	-2,84	-6
-2	-2,8	-8
-2	-2,74	-5
-2	-2,72	-6
-2	-2,96	-10
-2	-3,26	-9
-2	-3,12	-11
-2	-3,12	-9
-2	-3,06	-10
-2	-3,18	-11
-2	-3,44	-10
-2	-3,06	-12
-2	-3,12	-6
-2	-3,46	-8
-2	-3,24	-9
-2	-3,08	-10
-2	-2,96	-8
-2	-2,86	-8
-2	-2,86	-9
-2	-3,16	-11
-2	-3,12	-9
-2	-3,1	-8
-2	-3,14	-10
-2	-3,18	-8
-2	-2,94	-9
-2	-2,76	-7
-2	-2,96	-11
-2	-2,8	-7
-2	-2,78	-7
-2	-2,88	-6
-2	-3,02	-7
-2	-3,08	-8
-2	-3,24	-8
-2	-2,92	-9
-2	-2,96	-8
-2	-2,86	-7
-2	-3,2	-8
-2	-3,04	-9
-2	-2,98	-9
-2	-3,32	-9
-2	-2,92	-9
-2	-3,32	-11
-2	-3,32	-10
-2	-2,74	-10
-2	-2,92	-6
-2	-2,82	-8
-2	-3,1	-8
-2	-3,08	-9
-2	-3,42	-8
-2	-3,08	-12
-2	-3,1	-8
-2	-2,94	-10
-2	-3,08	-10
-2	-2,72	-7
-2	-2,96	-8
-2	-2,98	-9
-2	-2,84	-8
-2	-2,82	-8
-2	-3	-8
-2	-2,98	-8
-2	-2,98	-9
-2	-2,78	-7
-2	-2,82	-11
-2	-2,98	-8
-2	-2,98	-9
-2	-3,42	-10
-2	-2,84	-8
-2	-2,9	-9
-2	-2,88	-7
-2	-2,88	-6
-2	-2,98	-7
-2	-2,96	-7
-2	-2,94	-8
-2	-3	-7
-2	-3,2	-8
-2	-3,22	-9
-2	-2,76	-7
-2	-2,8	-6
-2	-2,88	-8
-2	-2,8	-8
-2	-2,9	-8
-2	-2,8	-8
-2	-2,66	-6
-2	-2,66	-8
-2	-3,1	-11
-2	-2,72	-6
-2	-2,96	-8
-2	-2,98	-10
-2	-2,66	-7
-2	-2,78	-8
-2	-3,02	-11
-2	-3,06	-8
-2	-3,14	-8
-2	-3,2	-10
-2	-3,18	-9
-2	-2,84	-8
-2	-2,68	-8
-2	-2,8	-6
-2	-3,06	-7
-2	-2,88	-6
-2	-2,76	-7
-2	-2,76	-6
-2	-2,62	-6
-2	-2,74	-6
-2	-2,9	-7
-2	-2,86	-7
-2	-2,74	-6
-2	-2,84	-8
-2	-3,26	-9
-2	-3,12	-9
-2	-2,82	-8
-2	-3,14	-8
-2	-3,1	-10
-2	-2,9	-7
-2	-3,1	-7
-2	-3,32	-11
-2	-2,92	-7
-2	-2,92	-9
-2	-2,6	-5
-2	-2,62	-9
-2	-2,56	-5
-2	-2,84	-7
-2	-2,9	-7
-2	-2,84	-8
-2	-3,04	-7
-2	-2,82	-7
-2	-2,9	-6
-2	-2,84	-7
-2	-2,86	-6
-2	-3,06	-7
-2	-3,04	-7
-2	-2,88	-9
-2	-2,7	-6
-2	-2,48	-6
-2	-2,84	-8
-2	-2,98	-8
-2	-3,04	-10
-2	-2,94	-7
-2	-2,82	-7
-2	-2,72	-6
-2	-2,84	-6
-2	-2,78	-7
-2	-2,74	-8
-2	-2,72	-8
-2	-2,68	-8
-2	-2,86	-8
-2	-2,9	-8
-2	-2,92	-6
-2	-2,92	-6
-2	-2,96	-7
-2	-3,08	-9
-2	-3	-7
-2	-2,84	-7
-2	-2,92	-8
-2	-2,78	-7
-2	-2,8	-7
-2	-3	-6
-2	-2,78	-8
-2	-3	-7
-2	-3,1	-7
-2	-3,08	-8
-2	-2,76	-7
-2	-3,16	-7
-2	-3,3	-9
-2	-2,92	-7
-2	-3,2	-10
-2	-3,14	-6
-2	-3,4	-10
-2	-3,02	-11
-2	-3,18	-10
-2	-2,92	-6
-2	-3,08	-9
-2	-2,98	-7
-2	-3,16	-10
-2	-2,94	-8
-2	-3,08	-12
-2	-2,84	-7
-2	-2,86	-7
-2	-3	-9
-2	-3,18	-9
-2	-3,2	-8
-2	-2,92	-7
-2	-2,74	-5
-2	-3,02	-10
-2	-3,08	-9
-2	-3,12	-12
-2	-3,52	-9
-2	-3,44	-10
-2	-3,48	-10
-2	-3,72	-10
-2	-3,1	-9
-2	-2,9	-7
-2	-3,06	-9
-2	-3	-8
-2	-3,14	-8
-2	-3,12	-14
-2	-3,24	-8
-2	-2,7	-8
-2	-2,74	-8
-2	-2,98	-8
-2	-3,22	-9
-2	-2,68	-6
-2	-3,06	-8
-2	-2,8	-7
-2	-2,98	-8
-2	-2,84	-7
-2	-2,7	-6
-2	-3,1	-7
-2	-2,98	-8
-2	-3,06	-8
-2	-2,76	-9
-2	-2,8	-9
-2	-2,98	-7
-2	-2,92	-12
-2	-2,96	-7
-2	-2,76	-7
-2	-2,64	-6
-2	-2,92	-10
-2	-2,92	-9
-2	-2,8	-8
-2	-3,18	-7
-2	-2,9	-9
-2	-2,88	-8
-2	-3,06	-10
-2	-2,8	-6
-2	-3,14	-12
-2	-3,16	-7
-2	-2,96	-7
-2	-2,8	-7
-2	-2,98	-8
-2	-2,94	-9
-2	-2,8	-6
-2	-2,68	-6
-2	-2,66	-7
-2	-3,02	-10
-2	-3,18	-8
-2	-3,3	-9
-2	-3,18	-8
-2	-3,2	-8
-2	-3,04	-10
-2	-2,96	-7
-2	-2,92	-11
-2	-3,08	-9
-2	-2,96	-10
-2	-3,18	-10
-2	-2,9	-7
-2	-2,82	-9
-2	-2,94	-9
-2	-2,94	-7
-2	-3,08	-10
-2	-3,16	-7
-2	-2,88	-7
-2	-2,82	-8
