Min	Avg	Max
-2	-6,72	-14
-2	-6,4	-14
-2	-5,94	-13
-2	-5,84	-18
-2	-5,86	-15
-2	-5,54	-14
-2	-5,84	-14
-2	-5,48	-12
-1	-5,36	-13
-1	-5,48	-12
-1	-5,16	-10
-1	-5,76	-10
-1	-5,58	-14
-1	-5,6	-14
-1	-5,46	-13
-1	-5,58	-13
-1	-5,6	-12
-1	-5,54	-13
-1	-5	-11
-1	-5,46	-16
-1	-4,88	-12
-1	-4,6	-12
-1	-4,88	-12
-1	-5,28	-13
-1	-5,06	-17
-1	-3,8	-14
-1	-4,22	-10
-1	-4,14	-15
-1	-3,48	-13
-1	-3,16	-11
-1	-3,1	-9
-1	-3,28	-11
-1	-3,42	-9
-1	-3,16	-9
-1	-3,08	-8
-1	-3,2	-8
-1	-3,22	-9
-1	-3,44	-11
-1	-3,3	-12
-1	-3,6	-9
-1	-3,88	-11
-1	-3,52	-8
-1	-3,82	-9
-1	-4,2	-11
-1	-4,08	-11
-1	-3,84	-12
-1	-3,94	-11
-1	-3,96	-11
-1	-3,84	-10
-1	-3,82	-13
-1	-3,94	-13
-1	-3,6	-11
-1	-4,08	-11
-1	-3,16	-9
-1	-2,48	-8
-1	-2,76	-8
-1	-3,46	-9
-1	-3,5	-8
-1	-3,82	-11
-1	-3,72	-11
-1	-3,46	-11
-1	-3,12	-8
-1	-3,5	-9
-1	-3,46	-9
-1	-2,9	-6
-1	-3,32	-8
-1	-3,18	-7
-1	-3,28	-12
-1	-3,54	-10
-1	-3,26	-10
-1	-3,5	-9
-1	-3,52	-10
-1	-3,28	-9
-1	-2,96	-12
-1	-3,38	-8
-1	-3,28	-9
-1	-3,08	-8
-1	-3,82	-11
-1	-4,34	-11
-1	-3,82	-11
-1	-3,18	-9
-1	-2,9	-10
-1	-3,06	-14
-1	-3,06	-9
-1	-3,16	-9
-1	-3,38	-12
-1	-3,9	-12
-1	-4,02	-13
-1	-3,58	-11
-1	-3,34	-14
-1	-3,04	-9
-1	-2,76	-6
-1	-2,98	-8
-1	-2,68	-6
-1	-2,54	-8
-1	-3,38	-16
-1	-3,18	-10
-1	-3,5	-12
-1	-3,52	-9
-1	-3,46	-9
-1	-3,52	-8
-1	-3,38	-9
-1	-4,34	-11
-1	-4,36	-9
-1	-4,24	-13
-1	-4	-11
-1	-4,04	-11
-1	-4	-11
-1	-4,14	-16
-1	-3,7	-14
-1	-3,92	-9
-1	-3,58	-9
-1	-4,36	-13
-1	-3,56	-9
-1	-3,08	-10
-1	-2,72	-8
-1	-3	-8
-1	-3,04	-8
-1	-2,94	-10
-1	-3,8	-15
-1	-3,88	-9
-1	-2,92	-9
-1	-3,2	-10
-1	-3,5	-8
-1	-3,82	-9
-1	-3,88	-13
-1	-3,86	-11
-1	-3,52	-11
-1	-3,6	-8
-1	-3,18	-9
-1	-2,92	-8
-1	-3,2	-9
-1	-2,92	-9
-1	-3,6	-10
-1	-3,2	-12
0	-3,32	-10
