Min	Avg	Max
-6	-12,34	-25
-6	-11,48	-20
-5	-11,9	-20
-5	-11,62	-20
-5	-11,3	-18
-5	-10,52	-21
-5	-10,66	-17
-5	-10,02	-17
-5	-9,92	-18
-3	-9,88	-18
-3	-10,2	-21
-3	-10,18	-17
-3	-10,04	-16
-3	-9,94	-20
-3	-9,94	-17
-3	-9,54	-18
-3	-10,56	-19
-3	-10,38	-19
-3	-10,78	-18
-3	-9,76	-23
-3	-10,52	-18
-3	-9,9	-18
-3	-10,4	-22
-3	-9,74	-18
-3	-9,82	-19
-3	-9,26	-17
-3	-9,02	-16
-3	-9,46	-15
-3	-9,1	-18
-3	-9,06	-16
-3	-9,56	-16
-3	-9,9	-17
-3	-9,78	-19
-3	-9,34	-16
-3	-9,18	-18
-3	-9,3	-15
-3	-9,38	-19
-3	-8,74	-17
-3	-8,86	-15
-3	-9,5	-16
-3	-9,58	-17
-3	-9,38	-18
-3	-9,86	-18
-3	-9,6	-21
-3	-8,84	-18
-3	-8,44	-16
-3	-8,94	-17
-3	-8,6	-15
-3	-8,68	-16
-3	-9,34	-17
-3	-9,1	-15
-3	-9,16	-17
-3	-8,34	-16
-3	-8,38	-16
-3	-8,54	-17
-3	-8,7	-15
-3	-8,86	-16
-3	-8,74	-15
-3	-9,32	-18
-3	-9,28	-17
-3	-9,32	-18
-3	-9,4	-18
-3	-9,36	-17
-3	-9	-17
-3	-8,62	-18
-3	-8,62	-17
-3	-8,26	-13
-3	-8,02	-16
-3	-8,5	-15
-3	-8,62	-15
-3	-8,64	-17
-2	-8,04	-16
-2	-8,44	-15
-2	-8,86	-18
-2	-8,32	-15
-2	-8,46	-15
-2	-8,72	-17
-2	-8,78	-16
-2	-8,48	-16
-2	-8,92	-17
-2	-7,8	-14
-2	-7,5	-12
-2	-7,36	-16
-2	-8,34	-16
-2	-8,06	-17
-2	-7,78	-22
-2	-8,52	-20
-2	-9,3	-18
-2	-8,34	-16
-2	-8,32	-15
-2	-8,3	-17
-2	-7,1	-14
-2	-7,74	-14
-2	-8,06	-19
-2	-7,7	-14
-2	-7,5	-14
-2	-8,04	-16
-2	-7,62	-14
-2	-7,08	-16
-2	-8,4	-15
-2	-8,2	-17
-2	-8,48	-16
-2	-8,22	-17
-2	-8,62	-15
-2	-9,24	-23
-2	-9,04	-17
-2	-9,72	-18
-2	-8,94	-19
-2	-9,12	-16
-2	-7,82	-17
-2	-7,98	-15
-2	-7,72	-13
-2	-8,34	-22
-2	-9,1	-16
-2	-8,76	-18
-2	-9,06	-20
-2	-9,64	-21
-2	-9,04	-21
-2	-8,74	-17
-2	-8,52	-16
-2	-8,68	-16
-2	-8,06	-15
-2	-8,58	-15
-2	-9,4	-18
-2	-9,32	-16
-2	-9	-16
-2	-10,02	-25
-2	-9,38	-17
-2	-8,4	-15
-2	-7,34	-16
-2	-7,44	-16
-2	-7,48	-15
-2	-7,4	-15
-2	-7,72	-14
-2	-7,78	-15
-2	-8,14	-16
-2	-7,84	-14
-2	-7,6	-16
-2	-7,86	-14
-2	-8,08	-17
-2	-9,28	-16
-2	-8,42	-17
-2	-7,96	-16
-2	-8,1	-15
-2	-7,7	-15
-2	-7,36	-14
-2	-7,6	-16
-2	-7,74	-14
-2	-7,68	-16
-2	-7,62	-16
-1	-7,52	-13
-1	-6,96	-14
-1	-7,5	-14
-1	-7,36	-14
-1	-7,74	-18
-1	-7,94	-15
-1	-8,2	-14
-1	-7,74	-17
-1	-7,8	-15
-1	-7,16	-16
-1	-7,2	-14
-1	-7,42	-17
-1	-7,42	-14
-1	-7,42	-15
-1	-6,84	-15
-1	-7,08	-12
-1	-7,32	-17
-1	-7,48	-21
-1	-7,32	-14
-1	-7,62	-15
-1	-7,84	-15
-1	-7,18	-16
-1	-7,24	-18
-1	-6,94	-15
-1	-6,98	-16
-1	-7,1	-16
-1	-7,58	-16
-1	-7,62	-17
-1	-7,04	-15
-1	-7,14	-16
-1	-8,06	-16
-1	-8,16	-14
-1	-8,12	-15
-1	-8,4	-17
-1	-8,74	-20
-1	-8,34	-17
-1	-8,18	-18
-1	-7,98	-21
-1	-7,86	-14
-1	-7,46	-14
-1	-7,44	-16
-1	-7,14	-16
-1	-7,76	-17
-1	-8,22	-16
-1	-7,9	-17
-1	-8,94	-18
-1	-8,82	-19
-1	-8,22	-16
-1	-8,1	-21
-1	-8,62	-16
-1	-9,4	-24
-1	-8,76	-17
-1	-8,68	-15
-1	-8,4	-15
-1	-8,68	-16
-1	-8,36	-16
-1	-8,02	-16
-1	-7,54	-15
-1	-7,16	-12
-1	-7,82	-19
-1	-7,8	-16
-1	-7,72	-18
-1	-7,78	-17
-1	-6,7	-17
-1	-6,82	-15
-1	-6,9	-13
-1	-6,78	-13
-1	-6,9	-15
-1	-6,88	-16
-1	-6,8	-13
-1	-7,62	-15
-1	-7,52	-17
-1	-7,34	-17
-1	-7,26	-15
-1	-7,1	-14
-1	-7,32	-13
-1	-7,26	-15
-1	-7,32	-16
-1	-7,12	-13
-1	-7,18	-18
-1	-7,06	-15
-1	-7,44	-15
-1	-7,76	-17
-1	-7,62	-15
-1	-7,72	-16
-1	-7,08	-14
-1	-7,5	-16
-1	-7,66	-16
-1	-7,58	-15
-1	-7,6	-15
-1	-8,02	-17
-1	-8,16	-21
-1	-8,64	-21
-1	-8,24	-21
-1	-7,96	-18
-1	-8	-15
-1	-7,5	-15
-1	-8,16	-17
-1	-8,02	-15
-1	-7,84	-14
-1	-7,5	-14
-1	-7,34	-16
-1	-7,36	-16
-1	-6,86	-18
-1	-6,86	-16
-1	-7,38	-16
-1	-7,38	-15
-1	-8,26	-14
-1	-8,08	-17
-1	-8,68	-18
-1	-8,24	-18
-1	-7,68	-16
-1	-7,8	-16
-1	-7,46	-15
-1	-7,26	-15
-1	-6,76	-14
-1	-7,74	-14
-1	-8,1	-15
-1	-7,02	-15
-1	-7,04	-18
-1	-8,26	-14
-1	-8,04	-16
-1	-7,2	-18
-1	-7,54	-14
-1	-7,4	-15
-1	-7,76	-14
-1	-7,48	-13
-1	-8,2	-18
-1	-8,34	-15
-1	-8,14	-17
-1	-8,28	-15
-1	-7,68	-15
-1	-6,84	-14
-1	-6,66	-14
-1	-6,54	-15
-1	-7	-18
-1	-7,16	-14
-1	-6,98	-17
-1	-6,9	-15
-1	-7,68	-16
-1	-6,6	-12
-1	-6,62	-15
-1	-6,86	-17
-1	-7,14	-15
-1	-7,82	-16
-1	-7,66	-14
-1	-7,38	-15
-1	-7,48	-14
-1	-7,68	-15
-1	-7,08	-15
-1	-7,3	-17
-1	-6,76	-19
-1	-7,36	-14
-1	-7,54	-15
-1	-7,58	-15
-1	-7,5	-16
-1	-6,9	-14
-1	-6,64	-12
-1	-6,8	-15
-1	-7,02	-15
-1	-7,32	-14
-1	-7,08	-15
-1	-7,24	-15
-1	-7,08	-14
-1	-7,38	-21
-1	-8,06	-16
-1	-7,32	-14
-1	-7,5	-17
-1	-7,4	-13
-1	-7,58	-14
-1	-7,16	-17
-1	-6,72	-13
-1	-6,4	-14
-1	-7,18	-14
-1	-7,22	-15
-1	-6,92	-16
-1	-7,34	-13
-1	-7,46	-15
-1	-7,58	-12
-1	-6,8	-15
-1	-6,16	-12
-1	-6,4	-16
-1	-5,86	-14
-1	-6,72	-13
-1	-6,54	-14
-1	-6,56	-15
-1	-7,28	-16
-1	-7,26	-16
-1	-8,4	-15
-1	-7,88	-15
-1	-7,02	-14
-1	-7,14	-21
-1	-7,42	-16
-1	-8,02	-17
-1	-8,08	-15
-1	-7,14	-19
-1	-7,38	-17
-1	-8,36	-21
-1	-8,02	-16
-1	-7,84	-15
-1	-7,64	-14
-1	-7,88	-21
-1	-7,74	-16
-1	-9,16	-17
-1	-8,82	-18
