Min	Avg	Max
-3	-7,32	-18
-3	-7,36	-16
-2	-6,14	-11
-2	-6,74	-12
-2	-6,74	-15
-2	-7,12	-18
-2	-6,56	-17
-2	-6,5	-12
-2	-6,56	-14
-2	-7,56	-19
-2	-6,96	-13
-2	-7,4	-14
-1	-6,42	-14
-1	-7,42	-24
-1	-6,36	-12
-1	-6,36	-13
-1	-6,64	-16
-1	-6,46	-14
-1	-6,44	-12
-1	-6,56	-13
-1	-6,72	-20
-1	-6,74	-14
-1	-6,54	-14
-1	-6,26	-13
-1	-6,02	-12
-1	-6,26	-15
-1	-5,78	-11
-1	-6,02	-13
-1	-5,98	-11
-1	-6,3	-14
-1	-5,7	-11
-1	-6,82	-18
-1	-6,02	-15
-1	-5,98	-13
-1	-5,86	-14
-1	-5,6	-12
-1	-5,92	-11
-1	-6,62	-19
-1	-6,98	-15
-1	-6,24	-12
-1	-6,24	-14
-1	-6,14	-13
-1	-6,5	-16
-1	-6,9	-20
-1	-6,78	-14
-1	-5,94	-12
-1	-6,04	-11
-1	-6,56	-12
-1	-7,04	-15
-1	-6,82	-13
-1	-6,08	-13
-1	-6,58	-14
-1	-6,26	-13
-1	-6,54	-13
-1	-6,86	-13
-1	-6,5	-13
-1	-6,96	-16
-1	-6,84	-13
-1	-6,94	-13
-1	-6,34	-15
-1	-6,06	-13
-1	-6,18	-16
-1	-6,52	-15
-1	-6,32	-13
-1	-6,04	-12
-1	-5,96	-14
-1	-6,42	-15
-1	-6,88	-17
-1	-5,96	-13
-1	-6,24	-14
-1	-6,58	-13
-1	-6,1	-14
-1	-6,76	-15
-1	-6,66	-14
-1	-7,16	-20
-1	-7,4	-23
-1	-6,92	-14
-1	-6,44	-15
-1	-6,66	-15
-1	-6,6	-15
-1	-7,02	-17
-1	-6,18	-14
-1	-6,16	-12
-1	-6,38	-15
-1	-6,48	-12
-1	-6	-18
-1	-6,04	-12
-1	-6,6	-13
-1	-6,46	-19
-1	-6,3	-12
-1	-6,14	-12
-1	-6,8	-12
-1	-6,58	-15
-1	-5,84	-15
-1	-5,82	-14
-1	-6,28	-11
-1	-5,9	-15
-1	-6,14	-13
-1	-6,02	-14
-1	-6,14	-13
-1	-6,6	-14
-1	-6,4	-14
-1	-6,22	-12
-1	-6,48	-16
-1	-6,14	-13
-1	-6,16	-13
-1	-6,26	-10
-1	-6,04	-15
-1	-6,58	-13
-1	-7,04	-16
-1	-6,14	-14
-1	-7,06	-17
0	-6,3	-15
